Date;Open;High;Low;Close;Volume
07/05/2021;901.141.846;930.210.938;896.296.997;896.296.997;18316568
10/05/2021;896.296.997;939.900.635;896.296.997;930.210.938;24757120
11/05/2021;930.210.938;930.210.938;896.296.997;901.141.846;18861167
17/05/2021;901.141.846;905.986.694;876.917.603;886.607.300;10327773
18/05/2021;891.452.148;915.676.392;886.607.300;915.676.392;8660332
19/05/2021;905.986.694;915.676.392;886.607.300;891.452.148;4944633
20/05/2021;881.762.451;896.296.997;867.227.905;876.917.603;25957983
21/05/2021;881.762.451;886.607.300;862.383.057;872.072.754;17713866
24/05/2021;872.072.754;876.917.603;862.383.057;867.227.905;5324624
25/05/2021;872.072.754;901.141.846;867.227.905;881.762.451;21938559
27/05/2021;886.607.300;910.831.543;876.917.603;876.917.603;26111445
28/05/2021;881.762.451;886.607.300;867.227.905;876.917.603;9386567
31/05/2021;886.607.300;935.055.786;881.762.451;910.831.543;32968832
02/06/2021;910.831.543;944.745.483;910.831.543;930.210.938;33270699
03/06/2021;930.210.938;939.900.635;901.141.846;925.366.089;31821118
04/06/2021;935.000.000;945.000.000;905.000.000;910.000.000;33406100
07/06/2021;915.000.000;920.000.000;905.000.000;905.000.000;5956500
08/06/2021;905.000.000;915.000.000;880.000.000;880.000.000;45265800
09/06/2021;875.000.000;890.000.000;865.000.000;870.000.000;33064500
10/06/2021;865.000.000;875.000.000;845.000.000;855.000.000;33482900
11/06/2021;855.000.000;865.000.000;840.000.000;855.000.000;48253600
14/06/2021;855.000.000;875.000.000;840.000.000;845.000.000;46417000
15/06/2021;850.000.000;865.000.000;845.000.000;850.000.000;37897200
16/06/2021;850.000.000;875.000.000;845.000.000;870.000.000;33084400
17/06/2021;870.000.000;875.000.000;850.000.000;860.000.000;35728500
18/06/2021;860.000.000;865.000.000;800.000.000;840.000.000;63866400
21/06/2021;810.000.000;835.000.000;790.000.000;820.000.000;39949500
22/06/2021;840.000.000;860.000.000;825.000.000;850.000.000;38348000
23/06/2021;850.000.000;855.000.000;835.000.000;835.000.000;15269500
24/06/2021;835.000.000;850.000.000;830.000.000;845.000.000;13262600
25/06/2021;845.000.000;850.000.000;820.000.000;825.000.000;9388500
28/06/2021;825.000.000;830.000.000;785.000.000;790.000.000;19775900
29/06/2021;780.000.000;810.000.000;765.000.000;795.000.000;24027600
30/06/2021;800.000.000;860.000.000;795.000.000;850.000.000;32997900
01/07/2021;860.000.000;860.000.000;820.000.000;835.000.000;15604900
02/07/2021;835.000.000;850.000.000;825.000.000;830.000.000;14983100
05/07/2021;840.000.000;840.000.000;820.000.000;825.000.000;15684600
06/07/2021;825.000.000;855.000.000;810.000.000;845.000.000;23530900
07/07/2021;850.000.000;860.000.000;840.000.000;840.000.000;25122000
08/07/2021;840.000.000;860.000.000;810.000.000;820.000.000;33143900
09/07/2021;815.000.000;840.000.000;810.000.000;825.000.000;25410600
12/07/2021;845.000.000;845.000.000;825.000.000;825.000.000;17630200
13/07/2021;825.000.000;835.000.000;785.000.000;800.000.000;30048700
14/07/2021;790.000.000;805.000.000;765.000.000;770.000.000;27507900
15/07/2021;775.000.000;785.000.000;760.000.000;770.000.000;27556900
16/07/2021;780.000.000;805.000.000;770.000.000;790.000.000;33975900
19/07/2021;790.000.000;790.000.000;750.000.000;755.000.000;14925500
21/07/2021;765.000.000;815.000.000;755.000.000;785.000.000;48178600
22/07/2021;795.000.000;840.000.000;795.000.000;820.000.000;68315300
23/07/2021;820.000.000;825.000.000;785.000.000;795.000.000;23296000
26/07/2021;800.000.000;805.000.000;755.000.000;760.000.000;61106800
27/07/2021;770.000.000;775.000.000;745.000.000;750.000.000;73781300
28/07/2021;750.000.000;755.000.000;735.000.000;740.000.000;19464800
29/07/2021;760.000.000;760.000.000;740.000.000;755.000.000;19518700
30/07/2021;755.000.000;760.000.000;745.000.000;750.000.000;16675900
02/08/2021;750.000.000;780.000.000;740.000.000;770.000.000;48355000
03/08/2021;775.000.000;790.000.000;760.000.000;775.000.000;32677800
04/08/2021;780.000.000;785.000.000;760.000.000;765.000.000;25069400
05/08/2021;765.000.000;775.000.000;750.000.000;770.000.000;17527500
06/08/2021;770.000.000;775.000.000;745.000.000;755.000.000;42247300
09/08/2021;755.000.000;780.000.000;740.000.000;745.000.000;58386600
10/08/2021;745.000.000;755.000.000;735.000.000;745.000.000;15727400
12/08/2021;745.000.000;755.000.000;735.000.000;755.000.000;21906500
13/08/2021;760.000.000;765.000.000;745.000.000;750.000.000;35662200
16/08/2021;750.000.000;755.000.000;730.000.000;740.000.000;48833900
18/08/2021;740.000.000;810.000.000;735.000.000;800.000.000;101439100
19/08/2021;800.000.000;805.000.000;745.000.000;760.000.000;59283800
20/08/2021;755.000.000;765.000.000;745.000.000;760.000.000;15400400
23/08/2021;765.000.000;820.000.000;765.000.000;815.000.000;56022400
24/08/2021;820.000.000;825.000.000;790.000.000;795.000.000;18936900
25/08/2021;800.000.000;815.000.000;790.000.000;795.000.000;17652100
26/08/2021;805.000.000;810.000.000;770.000.000;775.000.000;10799500
27/08/2021;790.000.000;795.000.000;760.000.000;765.000.000;13173900
30/08/2021;780.000.000;815.000.000;775.000.000;805.000.000;34367700
31/08/2021;805.000.000;815.000.000;795.000.000;795.000.000;17108100
01/09/2021;800.000.000;810.000.000;795.000.000;805.000.000;6754900
02/09/2021;810.000.000;830.000.000;795.000.000;830.000.000;27890900
03/09/2021;835.000.000;855.000.000;775.000.000;845.000.000;174009800
06/09/2021;855.000.000;885.000.000;830.000.000;875.000.000;71927600
07/09/2021;875.000.000;900.000.000;860.000.000;890.000.000;51818200
08/09/2021;885.000.000;900.000.000;860.000.000;865.000.000;37308000
09/09/2021;870.000.000;885.000.000;860.000.000;885.000.000;35545100
10/09/2021;875.000.000;885.000.000;865.000.000;880.000.000;24747600
13/09/2021;885.000.000;885.000.000;845.000.000;865.000.000;25358100
14/09/2021;870.000.000;880.000.000;850.000.000;865.000.000;35618500
15/09/2021;865.000.000;890.000.000;860.000.000;870.000.000;39467200
16/09/2021;870.000.000;880.000.000;850.000.000;855.000.000;29127900
17/09/2021;855.000.000;860.000.000;840.000.000;845.000.000;32037400
20/09/2021;845.000.000;850.000.000;820.000.000;820.000.000;22050900
21/09/2021;805.000.000;830.000.000;800.000.000;820.000.000;42168800
22/09/2021;820.000.000;860.000.000;815.000.000;850.000.000;52464900
23/09/2021;830.000.000;835.000.000;805.000.000;815.000.000;105176300
24/09/2021;815.000.000;825.000.000;810.000.000;815.000.000;26199800
27/09/2021;820.000.000;830.000.000;810.000.000;815.000.000;34231900
28/09/2021;815.000.000;820.000.000;805.000.000;810.000.000;24529600
29/09/2021;810.000.000;835.000.000;800.000.000;825.000.000;55376100
30/09/2021;830.000.000;855.000.000;825.000.000;845.000.000;64395800
01/10/2021;835.000.000;865.000.000;820.000.000;825.000.000;94724600
04/10/2021;830.000.000;920.000.000;830.000.000;920.000.000;144579500
05/10/2021;935.000.000;935.000.000;895.000.000;905.000.000;85003400
06/10/2021;910.000.000;925.000.000;905.000.000;915.000.000;63640700
07/10/2021;925.000.000;930.000.000;890.000.000;910.000.000;52056000
08/10/2021;905.000.000;930.000.000;900.000.000;920.000.000;46703400
11/10/2021;935.000.000;940.000.000;905.000.000;915.000.000;36479000
12/10/2021;915.000.000;970.000.000;905.000.000;935.000.000;142157400
13/10/2021;940.000.000;955.000.000;925.000.000;945.000.000;54188600
14/10/2021;940.000.000;965.000.000;935.000.000;955.000.000;79214200
15/10/2021;960.000.000;970.000.000;945.000.000;950.000.000;43661400
18/10/2021;955.000.000;960.000.000;935.000.000;945.000.000;34780900
19/10/2021;945.000.000;955.000.000;925.000.000;930.000.000;40217500
21/10/2021;930.000.000;955.000.000;925.000.000;930.000.000;40961100
22/10/2021;930.000.000;960.000.000;910.000.000;940.000.000;53147000
25/10/2021;940.000.000;950.000.000;915.000.000;920.000.000;23514800
26/10/2021;925.000.000;930.000.000;905.000.000;915.000.000;11511600
27/10/2021;915.000.000;935.000.000;905.000.000;905.000.000;17042400
28/10/2021;915.000.000;925.000.000;900.000.000;910.000.000;22410500
29/10/2021;910.000.000;925.000.000;910.000.000;915.000.000;17108400
01/11/2021;915.000.000;945.000.000;915.000.000;930.000.000;35474000
02/11/2021;930.000.000;945.000.000;920.000.000;925.000.000;35242100
03/11/2021;930.000.000;985.000.000;920.000.000;975.000.000;120120100
04/11/2021;975.000.000;1.005.000.000;940.000.000;950.000.000;78195700
05/11/2021;960.000.000;960.000.000;925.000.000;930.000.000;27740000
08/11/2021;935.000.000;945.000.000;925.000.000;935.000.000;23687000
09/11/2021;940.000.000;980.000.000;935.000.000;965.000.000;32173700
10/11/2021;965.000.000;975.000.000;950.000.000;955.000.000;37629500
11/11/2021;955.000.000;975.000.000;955.000.000;960.000.000;19460300
12/11/2021;960.000.000;1.000.000.000;955.000.000;960.000.000;86540100
15/11/2021;960.000.000;970.000.000;945.000.000;950.000.000;15432200
16/11/2021;950.000.000;975.000.000;945.000.000;970.000.000;11188200
17/11/2021;975.000.000;990.000.000;960.000.000;960.000.000;19486700
18/11/2021;960.000.000;970.000.000;955.000.000;955.000.000;6013500
19/11/2021;955.000.000;980.000.000;955.000.000;975.000.000;15440800
22/11/2021;985.000.000;985.000.000;945.000.000;955.000.000;21727900
23/11/2021;955.000.000;960.000.000;930.000.000;935.000.000;18761600
24/11/2021;935.000.000;950.000.000;930.000.000;940.000.000;23369300
25/11/2021;945.000.000;945.000.000;910.000.000;915.000.000;24999700
26/11/2021;915.000.000;925.000.000;855.000.000;855.000.000;72156000
29/11/2021;850.000.000;890.000.000;835.000.000;880.000.000;61702700
30/11/2021;880.000.000;890.000.000;840.000.000;870.000.000;34018100
01/12/2021;865.000.000;880.000.000;820.000.000;835.000.000;60384800
02/12/2021;835.000.000;840.000.000;810.000.000;820.000.000;43518200
03/12/2021;830.000.000;870.000.000;825.000.000;855.000.000;37472500
06/12/2021;860.000.000;875.000.000;830.000.000;830.000.000;42082500
07/12/2021;845.000.000;880.000.000;840.000.000;880.000.000;33156100
08/12/2021;885.000.000;890.000.000;865.000.000;875.000.000;26290900
09/12/2021;885.000.000;895.000.000;865.000.000;880.000.000;13171100
10/12/2021;880.000.000;910.000.000;870.000.000;895.000.000;33565500
13/12/2021;905.000.000;920.000.000;895.000.000;905.000.000;27512300
14/12/2021;910.000.000;915.000.000;885.000.000;895.000.000;8441000
15/12/2021;890.000.000;895.000.000;880.000.000;880.000.000;5905200
16/12/2021;880.000.000;900.000.000;855.000.000;855.000.000;34925600
17/12/2021;855.000.000;875.000.000;850.000.000;855.000.000;9854700
20/12/2021;855.000.000;860.000.000;840.000.000;850.000.000;10524900
21/12/2021;850.000.000;865.000.000;845.000.000;865.000.000;10358800
22/12/2021;870.000.000;870.000.000;845.000.000;850.000.000;11511900
23/12/2021;850.000.000;855.000.000;835.000.000;850.000.000;10986300
24/12/2021;850.000.000;850.000.000;835.000.000;850.000.000;9917400
27/12/2021;855.000.000;875.000.000;845.000.000;855.000.000;11029900
